5	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
6	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
7	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
8	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
9	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
10	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
11	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
12	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
13	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
14	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
15	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
16	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
17	-0.152975 -0.117216 -0.0805734 -0.0449414 0.0117392 -0.106809 -0.381951 -0.423154 -0.464357 -0.638639 
18	0.121742 0.1483 0.175854 0.199561 0.283444 0.399554 0.105951 -0.183163 -0.241509 -0.377061 
19	0.386305 0.404363 0.423179 0.439512 0.495977 0.615977 0.593854 0.287597 -0.0186601 -0.115483 
A2	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
A3	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
A4	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
A5	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
A6	-0.152975 -0.117216 -0.0805734 -0.0449414 0.0117392 -0.106809 -0.381951 -0.423154 -0.464357 -0.638639 
A7	0.121742 0.1483 0.175854 0.199561 0.283444 0.399554 0.105951 -0.183163 -0.241509 -0.377061 
A8	0.386305 0.404363 0.423179 0.439512 0.495977 0.615977 0.593854 0.287597 -0.0186601 -0.115483 
A9	0.639987 0.650272 0.66105 0.67036 0.703959 0.773227 0.791815 0.758357 0.434958 0.146095 
22	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
33	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
44	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
55	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
66	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
77	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
88	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
99	0.121742 0.1483 0.175854 0.199561 0.283444 0.399554 0.105951 -0.183163 -0.241509 -0.377061 
1010	0.639987 0.650272 0.66105 0.67036 0.703959 0.773227 0.791815 0.758357 0.434958 0.146095 
AA	-0.292784 -0.25225 -0.211063 -0.167193 -0.153699 -0.475375 -0.510518 -0.54315 -0.575782 -0.769427 
