17,18,19,20,21,busted,blackjack,sum
2 0.13981 0.134908 0.129656 0.124027 0.117994 0.353607 0 1
3 0.135034 0.130483 0.125581 0.120329 0.1147 0.373873 0 1
4 0.13049 0.125938 0.121387 0.116485 0.111233 0.394467 0 1
5 0.122252 0.122252 0.1177 0.113148 0.108246 0.416402 0 1
6 0.165439 0.106267 0.106267 0.101715 0.0971634 0.423149 0 1
7 0.368564 0.137798 0.0786257 0.0786257 0.074074 0.262313 0 1
8 0.128567 0.359334 0.128567 0.0693952 0.0693952 0.244741 0 1
9 0.119996 0.119996 0.350763 0.119996 0.060824 0.228425 0 1
10 0.111425 0.111425 0.111425 0.342192 0.0345015 0.212109 0.0769233 1
A 0.130789 0.130789 0.130789 0.130789 0.0538662 0.115286 0.30769 1


10 0.151009 0.151009 0.151009 0.151009 0.151009 0.244956 0 1
11 0.145501 0.145501 0.145501 0.145501 0.145501 0.272493 0 1
12 0.14001 0.14001 0.14001 0.14001 0.14001 0.299949 0 1
13 0.134561 0.134561 0.134561 0.134561 0.134561 0.327194 0 1
14 0.129176 0.129176 0.129176 0.129176 0.129176 0.354119 0 1
15 0.111425 0.111425 0.111425 0.111425 0.342192 0.212109 0 1
16 0.103466 0.103466 0.103466 0.103466 0.103466 0.48267 0 1
17 0.0960755 0.0960755 0.0960755 0.0960755 0.0960755 0.519623 0 1
18 0.0892129 0.0892129 0.0892129 0.0892129 0.0892129 0.553935 0 1
19 0.0828405 0.0828405 0.0828405 0.0828405 0.0828405 0.585797 0 1
20 0.0769233 0.0769233 0.0769233 0.0769233 0.0769233 0.615383 0 1
21 1 0 0 0 0 0 0 1
22 0 1 0 0 0 0 0 1
23 0 0 1 0 0 0 0 1
24 0 0 0 1 0 0 0 1
25 0 0 0 0 1 0 0 1
26 0 0 0 0 0 1 0 1
27 0 0 0 0 0 0 1 1

DealerCard:A
      Stand           Hit        max(s,h)       double      max(s,h,d)          split
     0.330754            -1      0.330754            -2      0.330754             0            21 S
     0.146098     -0.897634      0.146098      -1.79527      0.146098             0            20 S
    -0.115481     -0.809472     -0.115481      -1.61894     -0.115481             0            19 S
     -0.37706     -0.741432      -0.37706      -1.48286      -0.37706             0            18 S
    -0.638639     -0.693513     -0.638639      -1.38703     -0.638639             0            17 S
    -0.769428     -0.665716     -0.665716      -1.33143     -0.665716             0            16 H
    -0.769428     -0.640002     -0.640002      -1.29596     -0.640002             0            15 H
    -0.769428      -0.61231      -0.61231      -1.26049      -0.61231             0            14 H
    -0.769428     -0.582488     -0.582488      -1.22501     -0.582488             0            13 H
    -0.769428     -0.550371     -0.550371      -1.18954     -0.550371             0            12 H
    -0.769428      -0.20869      -0.20869     -0.539882      -0.20869             0            11 H

     0.330754     -0.243277      0.330754     -0.575355      0.330754             0            21 S A10
     0.146098     -0.251303      0.146098     -0.625107      0.146098             0            20 S
    -0.115481     -0.311667     -0.115481     -0.745834     -0.115481             0            19 S
     -0.37706      -0.37203      -0.37203     -0.866562      -0.37203             0            18 H
    -0.638639     -0.432007     -0.432007     -0.987289     -0.432007             0            17 H
    -0.769428     -0.422361     -0.422361      -1.04765     -0.422361             0            16 H
    -0.769428     -0.397707     -0.397707      -1.04765     -0.397707             0            15 H
    -0.769428     -0.372679     -0.372679      -1.04765     -0.372679             0            14 H A3
    -0.769428     -0.347363     -0.347363      -1.04765     -0.347363             0            13 H A2

    -0.769428     -0.251303     -0.251303     -0.625107     -0.251303             0            10 H
    -0.769428     -0.353162     -0.353162     -0.915093     -0.353162             0             9 H
    -0.769428     -0.444096     -0.444096      -1.17667     -0.444096             0             8 H
    -0.769428     -0.522356     -0.522356      -1.39801     -0.522356             0             7 H
    -0.769428     -0.518253     -0.518253      -1.51873     -0.518253             0             6 H
    -0.769428     -0.500549     -0.500549      -1.53886     -0.500549             0             5 H

    -0.769428     -0.482897     -0.482897      -1.53886     -0.482897             0             4 H
    -0.769428     -0.465493     -0.465493      -1.53886     -0.465493             0             3 H
    -0.769428     -0.448473     -0.448473      -1.53886     -0.448473             0             2 H
